adm3_en,month,NO2,date
City of Navotas,2018-07,8.441652848813978E-5,2018-07-01T00:00:00
Pasay City,2018-07,8.639435459768779E-5,2018-07-01T00:00:00
City of Pasig,2018-07,9.384857034257266E-5,2018-07-01T00:00:00
Quezon City,2018-07,9.253831480575858E-5,2018-07-01T00:00:00
City of San Juan,2018-07,9.216538768206329E-5,2018-07-01T00:00:00
City of Taguig,2018-07,8.952468266143741E-5,2018-07-01T00:00:00
City of Valenzuela,2018-07,8.879946450744347E-5,2018-07-01T00:00:00
City of Baguio,2018-07,5.870456272066742E-5,2018-07-01T00:00:00
City of Butuan,2018-07,4.691911362428484E-5,2018-07-01T00:00:00
City of Cotabato,2018-07,4.554399583671772E-5,2018-07-01T00:00:00
City of Angeles,2018-07,6.882812321102631E-5,2018-07-01T00:00:00
City of Olongapo,2018-07,5.397893256518622E-5,2018-07-01T00:00:00
Ormoc City,2018-07,4.54978694060332E-5,2018-07-01T00:00:00
City of Tacloban,2018-07,4.6996976558242714E-5,2018-07-01T00:00:00
City of Zamboanga,2018-07,4.3159071590986E-5,2018-07-01T00:00:00
City of Isabela,2018-07,4.453836374842221E-5,2018-07-01T00:00:00
Pateros,2018-07,8.916721043790919E-5,2018-07-01T00:00:00
City of Puerto Princesa,2018-07,4.079946128358335E-5,2018-07-01T00:00:00
City of Lucena,2018-07,6.233058640373615E-5,2018-07-01T00:00:00
City of Bacolod,2018-07,5.0432826375063594E-5,2018-07-01T00:00:00
City of Iloilo,2018-07,4.682541473381213E-5,2018-07-01T00:00:00
City of Cebu,2018-07,5.336324563662513E-5,2018-07-01T00:00:00
City of Lapu-Lapu,2018-07,5.477452855763212E-5,2018-07-01T00:00:00
City of Mandaue,2018-07,6.206462151460715E-5,2018-07-01T00:00:00
City of Cagayan De Oro,2018-08,4.795984838985309E-5,2018-08-01T00:00:00
City of Iligan,2018-08,4.807553212407937E-5,2018-08-01T00:00:00
City of Davao,2018-08,4.638172439904683E-5,2018-08-01T00:00:00
City of General Santos,2018-08,4.3527529590763094E-5,2018-08-01T00:00:00
City of Caloocan,2018-08,7.217819887695796E-5,2018-08-01T00:00:00
City of Makati,2018-08,8.629458357038623E-5,2018-08-01T00:00:00
City of Malabon,2018-08,7.31278625649083E-5,2018-08-01T00:00:00
City of Mandaluyong,2018-08,8.852111838940452E-5,2018-08-01T00:00:00
City of Manila,2018-08,8.220738525846948E-5,2018-08-01T00:00:00
City of Marikina,2018-08,9.560044314696749E-5,2018-08-01T00:00:00
City of Muntinlupa,2018-08,6.49311185567632E-5,2018-08-01T00:00:00
City of Navotas,2018-08,6.859608439567197E-5,2018-08-01T00:00:00
Pasay City,2018-08,7.95089445295196E-5,2018-08-01T00:00:00
City of Pasig,2018-08,8.808170180247192E-5,2018-08-01T00:00:00
Quezon City,2018-08,8.390762078472084E-5,2018-08-01T00:00:00
City of San Juan,2018-08,8.50693880544608E-5,2018-08-01T00:00:00
City of Taguig,2018-08,8.05446871493505E-5,2018-08-01T00:00:00
City of Valenzuela,2018-08,7.08579180997354E-5,2018-08-01T00:00:00
City of Baguio,2018-08,5.232936152903982E-5,2018-08-01T00:00:00
City of Butuan,2018-08,4.36421198793719E-5,2018-08-01T00:00:00
City of Cotabato,2018-08,4.601876713619651E-5,2018-08-01T00:00:00
City of Angeles,2018-08,5.596456097327626E-5,2018-08-01T00:00:00
City of Olongapo,2018-08,,2018-08-01T00:00:00
Ormoc City,2018-08,4.376815256998036E-5,2018-08-01T00:00:00
City of Tacloban,2018-08,4.584932358593993E-5,2018-08-01T00:00:00
City of Zamboanga,2018-08,4.232039941192083E-5,2018-08-01T00:00:00
City of Isabela,2018-08,4.492866521402196E-5,2018-08-01T00:00:00
Pateros,2018-08,8.44621213146137E-5,2018-08-01T00:00:00
City of Puerto Princesa,2018-08,4.16723410994451E-5,2018-08-01T00:00:00
City of Lucena,2018-08,5.102287891985156E-5,2018-08-01T00:00:00
City of Bacolod,2018-08,4.919210652769579E-5,2018-08-01T00:00:00
City of Iloilo,2018-08,5.187825292011948E-5,2018-08-01T00:00:00
City of Cebu,2018-08,5.4493543736982375E-5,2018-08-01T00:00:00
City of Lapu-Lapu,2018-08,5.5517162439601054E-5,2018-08-01T00:00:00
City of Mandaue,2018-08,6.11963993385339E-5,2018-08-01T00:00:00
City of Cagayan De Oro,2018-09,4.843260784494379E-5,2018-09-01T00:00:00
City of Iligan,2018-09,4.656239507832598E-5,2018-09-01T00:00:00
City of Davao,2018-09,4.608942764626027E-5,2018-09-01T00:00:00
City of General Santos,2018-09,4.2838324836757664E-5,2018-09-01T00:00:00
City of Caloocan,2018-09,8.858215775807008E-5,2018-09-01T00:00:00
City of Makati,2018-09,1.1388146869747747E-4,2018-09-01T00:00:00
City of Malabon,2018-09,9.13755643460607E-5,2018-09-01T00:00:00
City of Mandaluyong,2018-09,1.2354655151664216E-4,2018-09-01T00:00:00
City of Manila,2018-09,1.103163136052813E-4,2018-09-01T00:00:00
City of Marikina,2018-09,1.1144588929012384E-4,2018-09-01T00:00:00
City of Muntinlupa,2018-09,7.56812575020538E-5,2018-09-01T00:00:00
City of Navotas,2018-09,8.788391374080936E-5,2018-09-01T00:00:00
Pasay City,2018-09,1.0267849848188833E-4,2018-09-01T00:00:00
City of Pasig,2018-09,1.2359813469356743E-4,2018-09-01T00:00:00
Quezon City,2018-09,1.0327689822370949E-4,2018-09-01T00:00:00
City of San Juan,2018-09,1.2438383668410277E-4,2018-09-01T00:00:00
City of Taguig,2018-09,1.090529700009897E-4,2018-09-01T00:00:00
City of Valenzuela,2018-09,8.743278775618533E-5,2018-09-01T00:00:00
City of Baguio,2018-09,6.084840596842719E-5,2018-09-01T00:00:00
City of Butuan,2018-09,4.496010772991433E-5,2018-09-01T00:00:00
City of Cotabato,2018-09,4.597435358994822E-5,2018-09-01T00:00:00
City of Angeles,2018-09,6.982713299456724E-5,2018-09-01T00:00:00
City of Olongapo,2018-09,5.556435237119952E-5,2018-09-01T00:00:00
Ormoc City,2018-09,4.4073080060072805E-5,2018-09-01T00:00:00
City of Tacloban,2018-09,4.453785397484361E-5,2018-09-01T00:00:00
City of Zamboanga,2018-09,3.975947743614335E-5,2018-09-01T00:00:00
City of Isabela,2018-09,4.267823059997682E-5,2018-09-01T00:00:00
Pateros,2018-09,1.1867356553434033E-4,2018-09-01T00:00:00
City of Puerto Princesa,2018-09,4.07788754469062E-5,2018-09-01T00:00:00
City of Lucena,2018-09,5.142845405483151E-5,2018-09-01T00:00:00
City of Bacolod,2018-09,5.2254024238415655E-5,2018-09-01T00:00:00
City of Iloilo,2018-09,5.046495014055744E-5,2018-09-01T00:00:00
City of Cebu,2018-09,4.947936022338069E-5,2018-09-01T00:00:00
City of Lapu-Lapu,2018-09,5.1144234661659526E-5,2018-09-01T00:00:00
City of Mandaue,2018-09,5.643412081128934E-5,2018-09-01T00:00:00
City of Cagayan De Oro,2018-10,4.983212524248982E-5,2018-10-01T00:00:00
City of Iligan,2018-10,4.969228762653503E-5,2018-10-01T00:00:00
City of Davao,2018-10,4.655971362878167E-5,2018-10-01T00:00:00
City of General Santos,2018-10,4.411669192683856E-5,2018-10-01T00:00:00
City of Caloocan,2018-10,9.610112714546497E-5,2018-10-01T00:00:00
City of Makati,2018-10,1.3622502577653059E-4,2018-10-01T00:00:00
City of Malabon,2018-10,1.1886974755890195E-4,2018-10-01T00:00:00
City of Mandaluyong,2018-10,1.4798181534022482E-4,2018-10-01T00:00:00
City of Manila,2018-10,1.5413226830968168E-4,2018-10-01T00:00:00
City of Marikina,2018-10,1.114076486505589E-4,2018-10-01T00:00:00
City of Muntinlupa,2018-10,8.094535903003078E-5,2018-10-01T00:00:00
City of Navotas,2018-10,1.117816822784046E-4,2018-10-01T00:00:00
Pasay City,2018-10,1.3951195722902905E-4,2018-10-01T00:00:00
City of Pasig,2018-10,1.2360563137030407E-4,2018-10-01T00:00:00
Quezon City,2018-10,1.1289344734139398E-4,2018-10-01T00:00:00
City of San Juan,2018-10,1.5115341522800176E-4,2018-10-01T00:00:00
City of Taguig,2018-10,1.0939795091509265E-4,2018-10-01T00:00:00
City of Valenzuela,2018-10,1.0594042819602226E-4,2018-10-01T00:00:00
City of Baguio,2018-10,6.413472075559515E-5,2018-10-01T00:00:00
City of Butuan,2018-10,4.318799018822895E-5,2018-10-01T00:00:00
City of Cotabato,2018-10,4.655532235598503E-5,2018-10-01T00:00:00
City of Angeles,2018-10,6.921296736811099E-5,2018-10-01T00:00:00
City of Olongapo,2018-10,5.848006579050888E-5,2018-10-01T00:00:00
Ormoc City,2018-10,4.679360900534936E-5,2018-10-01T00:00:00
City of Tacloban,2018-10,4.687238068011435E-5,2018-10-01T00:00:00
City of Zamboanga,2018-10,4.3106503311443836E-5,2018-10-01T00:00:00
City of Isabela,2018-10,4.304051907820429E-5,2018-10-01T00:00:00
Pateros,2018-10,1.1262393316978519E-4,2018-10-01T00:00:00
City of Puerto Princesa,2018-10,4.331891598158901E-5,2018-10-01T00:00:00
City of Lucena,2018-10,5.7409485423592394E-5,2018-10-01T00:00:00
City of Bacolod,2018-10,5.4600688012920635E-5,2018-10-01T00:00:00
City of Iloilo,2018-10,5.260609873695825E-5,2018-10-01T00:00:00
City of Cebu,2018-10,5.256666107337412E-5,2018-10-01T00:00:00
City of Lapu-Lapu,2018-10,5.3321919748358475E-5,2018-10-01T00:00:00
City of Mandaue,2018-10,5.6664257177926976E-5,2018-10-01T00:00:00
City of Cagayan De Oro,2018-11,4.5345700079811905E-5,2018-11-01T00:00:00
City of Iligan,2018-11,4.60909742914911E-5,2018-11-01T00:00:00
City of Davao,2018-11,4.270450684121189E-5,2018-11-01T00:00:00
City of General Santos,2018-11,4.241235451639512E-5,2018-11-01T00:00:00
City of Caloocan,2018-11,7.67025161826203E-5,2018-11-01T00:00:00
City of Makati,2018-11,1.042829530759341E-4,2018-11-01T00:00:00
City of Malabon,2018-11,9.960290988769573E-5,2018-11-01T00:00:00
City of Mandaluyong,2018-11,1.0495726077404574E-4,2018-11-01T00:00:00
City of Manila,2018-11,1.2950157637422102E-4,2018-11-01T00:00:00
City of Marikina,2018-11,7.12520790892489E-5,2018-11-01T00:00:00
City of Muntinlupa,2018-11,5.939415212128135E-5,2018-11-01T00:00:00
City of Navotas,2018-11,9.705916563138089E-5,2018-11-01T00:00:00
Pasay City,2018-11,1.1055182357346571E-4,2018-11-01T00:00:00
City of Pasig,2018-11,8.355580207084199E-5,2018-11-01T00:00:00
Quezon City,2018-11,8.346553577257512E-5,2018-11-01T00:00:00
City of San Juan,2018-11,1.0788107141115541E-4,2018-11-01T00:00:00
City of Taguig,2018-11,7.62981252476677E-5,2018-11-01T00:00:00
City of Valenzuela,2018-11,8.84230137190596E-5,2018-11-01T00:00:00
City of Baguio,2018-11,5.41937528485985E-5,2018-11-01T00:00:00
City of Butuan,2018-11,3.99303605271434E-5,2018-11-01T00:00:00
City of Cotabato,2018-11,4.3706046170851875E-5,2018-11-01T00:00:00
City of Angeles,2018-11,5.6610495984829354E-5,2018-11-01T00:00:00
City of Olongapo,2018-11,5.20701595146432E-5,2018-11-01T00:00:00
Ormoc City,2018-11,3.943632553282128E-5,2018-11-01T00:00:00
City of Tacloban,2018-11,4.070681109169888E-5,2018-11-01T00:00:00
City of Zamboanga,2018-11,4.175738956664996E-5,2018-11-01T00:00:00
City of Isabela,2018-11,4.4270677860438E-5,2018-11-01T00:00:00
Pateros,2018-11,7.803679145763205E-5,2018-11-01T00:00:00
City of Puerto Princesa,2018-11,4.157311802212039E-5,2018-11-01T00:00:00
City of Lucena,2018-11,5.0405010132468055E-5,2018-11-01T00:00:00
City of Bacolod,2018-11,5.055907255886553E-5,2018-11-01T00:00:00
City of Iloilo,2018-11,4.914927330215299E-5,2018-11-01T00:00:00
City of Cebu,2018-11,4.470849620693043E-5,2018-11-01T00:00:00
City of Lapu-Lapu,2018-11,4.737698219287187E-5,2018-11-01T00:00:00
City of Mandaue,2018-11,5.055953452129923E-5,2018-11-01T00:00:00
City of Cagayan De Oro,2018-12,4.638033228838373E-5,2018-12-01T00:00:00
City of Iligan,2018-12,4.543755625084276E-5,2018-12-01T00:00:00
City of Davao,2018-12,4.278744561046728E-5,2018-12-01T00:00:00
City of General Santos,2018-12,4.147328099788102E-5,2018-12-01T00:00:00
City of Caloocan,2018-12,7.13781799793353E-5,2018-12-01T00:00:00
City of Makati,2018-12,8.911443071489699E-5,2018-12-01T00:00:00
City of Malabon,2018-12,8.827821514938123E-5,2018-12-01T00:00:00
City of Mandaluyong,2018-12,9.166070765643292E-5,2018-12-01T00:00:00
City of Manila,2018-12,1.0560070765279748E-4,2018-12-01T00:00:00
City of Marikina,2018-12,6.38312794398539E-5,2018-12-01T00:00:00
City of Muntinlupa,2018-12,6.905246248164882E-5,2018-12-01T00:00:00
City of Navotas,2018-12,8.943109933922508E-5,2018-12-01T00:00:00
Pasay City,2018-12,9.555535370401179E-5,2018-12-01T00:00:00
City of Pasig,2018-12,7.445406557789907E-5,2018-12-01T00:00:00
Quezon City,2018-12,7.333533449750659E-5,2018-12-01T00:00:00
City of San Juan,2018-12,9.257382383116497E-5,2018-12-01T00:00:00
City of Taguig,2018-12,7.517146084492405E-5,2018-12-01T00:00:00
City of Valenzuela,2018-12,7.620646804754448E-5,2018-12-01T00:00:00
City of Baguio,2018-12,6.285018270470623E-5,2018-12-01T00:00:00
City of Butuan,2018-12,3.999620454977733E-5,2018-12-01T00:00:00
City of Cotabato,2018-12,4.27408788269128E-5,2018-12-01T00:00:00
City of Angeles,2018-12,6.122266270114146E-5,2018-12-01T00:00:00
City of Olongapo,2018-12,5.967101130470697E-5,2018-12-01T00:00:00
Ormoc City,2018-12,4.203941893555803E-5,2018-12-01T00:00:00
City of Tacloban,2018-12,3.9970899901830976E-5,2018-12-01T00:00:00
City of Zamboanga,2018-12,3.994552389892492E-5,2018-12-01T00:00:00
City of Isabela,2018-12,4.194471208693474E-5,2018-12-01T00:00:00
Pateros,2018-12,7.401377911514967E-5,2018-12-01T00:00:00
City of Puerto Princesa,2018-12,4.0431482554299294E-5,2018-12-01T00:00:00
City of Lucena,2018-12,5.534849284867733E-5,2018-12-01T00:00:00
City of Bacolod,2018-12,5.2542608164632376E-5,2018-12-01T00:00:00
City of Iloilo,2018-12,4.6800196163730366E-5,2018-12-01T00:00:00
City of Cebu,2018-12,4.770517656375093E-5,2018-12-01T00:00:00
City of Lapu-Lapu,2018-12,4.7292560480439404E-5,2018-12-01T00:00:00
City of Mandaue,2018-12,5.1064068055333746E-5,2018-12-01T00:00:00
City of Cagayan De Oro,2019-01,4.307511752662735E-5,2019-01-01T00:00:00
City of Iligan,2019-01,4.20555348985107E-5,2019-01-01T00:00:00
City of Davao,2019-01,3.558047129301579E-5,2019-01-01T00:00:00
City of General Santos,2019-01,3.4398116492539314E-5,2019-01-01T00:00:00
City of Caloocan,2019-01,6.611378378483407E-5,2019-01-01T00:00:00
City of Makati,2019-01,8.158541646490458E-5,2019-01-01T00:00:00
City of Malabon,2019-01,8.018128540776572E-5,2019-01-01T00:00:00
City of Mandaluyong,2019-01,7.855707342164398E-5,2019-01-01T00:00:00
City of Manila,2019-01,9.088465295383466E-5,2019-01-01T00:00:00
City of Marikina,2019-01,5.884066490419189E-5,2019-01-01T00:00:00
City of Muntinlupa,2019-01,5.596351488374571E-5,2019-01-01T00:00:00
City of Navotas,2019-01,7.96754900449708E-5,2019-01-01T00:00:00
Pasay City,2019-01,8.389149390916872E-5,2019-01-01T00:00:00
City of Pasig,2019-01,6.5023601305425E-5,2019-01-01T00:00:00
Quezon City,2019-01,6.616854616896497E-5,2019-01-01T00:00:00
City of San Juan,2019-01,7.838659870570236E-5,2019-01-01T00:00:00
City of Taguig,2019-01,6.547243142938694E-5,2019-01-01T00:00:00
City of Valenzuela,2019-01,7.278247437344411E-5,2019-01-01T00:00:00
City of Baguio,2019-01,5.33186052638487E-5,2019-01-01T00:00:00
City of Butuan,2019-01,3.722637532520164E-5,2019-01-01T00:00:00
City of Cotabato,2019-01,3.913761835610285E-5,2019-01-01T00:00:00
City of Angeles,2019-01,5.51403231084935E-5,2019-01-01T00:00:00
City of Olongapo,2019-01,5.279039636408348E-5,2019-01-01T00:00:00
Ormoc City,2019-01,3.8052587608237554E-5,2019-01-01T00:00:00
City of Tacloban,2019-01,3.714708531282891E-5,2019-01-01T00:00:00
City of Zamboanga,2019-01,3.5661573356318704E-5,2019-01-01T00:00:00
City of Isabela,2019-01,3.845199048989868E-5,2019-01-01T00:00:00
Pateros,2019-01,6.442350940631413E-5,2019-01-01T00:00:00
City of Puerto Princesa,2019-01,3.756626999841739E-5,2019-01-01T00:00:00
City of Lucena,2019-01,4.2304792551175255E-5,2019-01-01T00:00:00
City of Bacolod,2019-01,4.3728870362374897E-5,2019-01-01T00:00:00
City of Iloilo,2019-01,3.957960573109984E-5,2019-01-01T00:00:00
City of Cebu,2019-01,4.0478727788342214E-5,2019-01-01T00:00:00
City of Lapu-Lapu,2019-01,4.162535404706675E-5,2019-01-01T00:00:00
City of Mandaue,2019-01,4.3482090777053316E-5,2019-01-01T00:00:00
City of Cagayan De Oro,2019-02,4.4863683594229915E-5,2019-02-01T00:00:00
City of Iligan,2019-02,4.368770279999108E-5,2019-02-01T00:00:00
City of Davao,2019-02,3.815841192027134E-5,2019-02-01T00:00:00
City of General Santos,2019-02,4.0876190006989586E-5,2019-02-01T00:00:00
City of Caloocan,2019-02,9.293439248014555E-5,2019-02-01T00:00:00
City of Makati,2019-02,9.612927557911977E-5,2019-02-01T00:00:00
City of Malabon,2019-02,1.2659819097110436E-4,2019-02-01T00:00:00
City of Mandaluyong,2019-02,1.0128279731177853E-4,2019-02-01T00:00:00
City of Manila,2019-02,1.4190171134410953E-4,2019-02-01T00:00:00
City of Marikina,2019-02,7.458120910264771E-5,2019-02-01T00:00:00
City of Muntinlupa,2019-02,5.7983922930774276E-5,2019-02-01T00:00:00
City of Navotas,2019-02,1.2112132895764615E-4,2019-02-01T00:00:00
Pasay City,2019-02,9.745326935495146E-5,2019-02-01T00:00:00
City of Pasig,2019-02,7.854624564989537E-5,2019-02-01T00:00:00
Quezon City,2019-02,9.41766902532675E-5,2019-02-01T00:00:00
City of San Juan,2019-02,1.1037076413315977E-4,2019-02-01T00:00:00
City of Taguig,2019-02,6.959527246054421E-5,2019-02-01T00:00:00
City of Valenzuela,2019-02,1.1284453281016606E-4,2019-02-01T00:00:00
City of Baguio,2019-02,6.233811388892162E-5,2019-02-01T00:00:00
City of Butuan,2019-02,3.781486278280398E-5,2019-02-01T00:00:00
City of Cotabato,2019-02,4.7623480037913826E-5,2019-02-01T00:00:00
City of Angeles,2019-02,6.902235687124641E-5,2019-02-01T00:00:00
City of Olongapo,2019-02,5.695086433204418E-5,2019-02-01T00:00:00
Ormoc City,2019-02,3.8725001860794626E-5,2019-02-01T00:00:00
City of Tacloban,2019-02,3.844347674407873E-5,2019-02-01T00:00:00
City of Zamboanga,2019-02,3.821224370980595E-5,2019-02-01T00:00:00
City of Isabela,2019-02,4.206409935961479E-5,2019-02-01T00:00:00
Pateros,2019-02,7.198815152184138E-5,2019-02-01T00:00:00
City of Puerto Princesa,2019-02,3.973890088170662E-5,2019-02-01T00:00:00
City of Lucena,2019-02,5.006643472484954E-5,2019-02-01T00:00:00
City of Bacolod,2019-02,4.6468595379530816E-5,2019-02-01T00:00:00
City of Iloilo,2019-02,4.663361824554474E-5,2019-02-01T00:00:00
City of Cebu,2019-02,4.2683248181892996E-5,2019-02-01T00:00:00
City of Lapu-Lapu,2019-02,4.3563426443384304E-5,2019-02-01T00:00:00
City of Mandaue,2019-02,4.642348665487863E-5,2019-02-01T00:00:00
City of Cagayan De Oro,2019-03,4.786638165161012E-5,2019-03-01T00:00:00
City of Iligan,2019-03,4.7669647091761346E-5,2019-03-01T00:00:00
City of Davao,2019-03,3.8955113144788124E-5,2019-03-01T00:00:00
City of General Santos,2019-03,4.0722854355428906E-5,2019-03-01T00:00:00
City of Caloocan,2019-03,1.1767746770013583E-4,2019-03-01T00:00:00
City of Makati,2019-03,1.155579334781827E-4,2019-03-01T00:00:00
City of Malabon,2019-03,1.349956441881727E-4,2019-03-01T00:00:00
City of Mandaluyong,2019-03,1.2904727279599199E-4,2019-03-01T00:00:00
City of Manila,2019-03,1.5450439169999055E-4,2019-03-01T00:00:00
City of Marikina,2019-03,1.0951351778727159E-4,2019-03-01T00:00:00
City of Muntinlupa,2019-03,6.84732851479364E-5,2019-03-01T00:00:00
City of Navotas,2019-03,1.2368451051346336E-4,2019-03-01T00:00:00
Pasay City,2019-03,1.1579133603527585E-4,2019-03-01T00:00:00
City of Pasig,2019-03,9.846209897491634E-5,2019-03-01T00:00:00
Quezon City,2019-03,1.2903500785356467E-4,2019-03-01T00:00:00
City of San Juan,2019-03,1.4618280157478795E-4,2019-03-01T00:00:00
City of Taguig,2019-03,8.544318982769308E-5,2019-03-01T00:00:00
City of Valenzuela,2019-03,1.2774837935143127E-4,2019-03-01T00:00:00
City of Baguio,2019-03,6.366253507142064E-5,2019-03-01T00:00:00
City of Butuan,2019-03,3.854942468932577E-5,2019-03-01T00:00:00
City of Cotabato,2019-03,4.7002972096078324E-5,2019-03-01T00:00:00
City of Angeles,2019-03,7.780526034306418E-5,2019-03-01T00:00:00
City of Olongapo,2019-03,6.108971573158276E-5,2019-03-01T00:00:00
Ormoc City,2019-03,4.107599927689938E-5,2019-03-01T00:00:00
City of Tacloban,2019-03,4.1606227718089435E-5,2019-03-01T00:00:00
City of Zamboanga,2019-03,3.926319822803659E-5,2019-03-01T00:00:00
City of Isabela,2019-03,4.1388954951828826E-5,2019-03-01T00:00:00
Pateros,2019-03,9.009936154373483E-5,2019-03-01T00:00:00
City of Puerto Princesa,2019-03,4.053144041170953E-5,2019-03-01T00:00:00
City of Lucena,2019-03,5.774820760434169E-5,2019-03-01T00:00:00
City of Bacolod,2019-03,5.0969274867408625E-5,2019-03-01T00:00:00
City of Iloilo,2019-03,4.811741603127344E-5,2019-03-01T00:00:00
City of Cebu,2019-03,4.440822553665404E-5,2019-03-01T00:00:00
City of Lapu-Lapu,2019-03,4.477323508265255E-5,2019-03-01T00:00:00
City of Mandaue,2019-03,4.92608457411441E-5,2019-03-01T00:00:00
City of Cagayan De Oro,2019-04,4.719784048294265E-5,2019-04-01T00:00:00
City of Iligan,2019-04,4.655881456078241E-5,2019-04-01T00:00:00
City of Davao,2019-04,3.796661748744963E-5,2019-04-01T00:00:00
City of General Santos,2019-04,3.660859797519491E-5,2019-04-01T00:00:00
City of Caloocan,2019-04,1.1338726272894649E-4,2019-04-01T00:00:00
City of Makati,2019-04,1.0075118111238748E-4,2019-04-01T00:00:00
City of Malabon,2019-04,1.3631954712285896E-4,2019-04-01T00:00:00
City of Mandaluyong,2019-04,1.1411008426967841E-4,2019-04-01T00:00:00
City of Manila,2019-04,1.336173885871255E-4,2019-04-01T00:00:00
City of Marikina,2019-04,9.842643178588062E-5,2019-04-01T00:00:00
City of Muntinlupa,2019-04,6.927501524859343E-5,2019-04-01T00:00:00
City of Navotas,2019-04,1.2289732285967637E-4,2019-04-01T00:00:00
Pasay City,2019-04,1.016296367460416E-4,2019-04-01T00:00:00
City of Pasig,2019-04,9.724237677807123E-5,2019-04-01T00:00:00
Quezon City,2019-04,1.1842984849420656E-4,2019-04-01T00:00:00
City of San Juan,2019-04,1.2691552228344537E-4,2019-04-01T00:00:00
City of Taguig,2019-04,8.23947080641473E-5,2019-04-01T00:00:00
City of Valenzuela,2019-04,1.252719103951038E-4,2019-04-01T00:00:00
City of Baguio,2019-04,6.312904469703618E-5,2019-04-01T00:00:00
City of Butuan,2019-04,3.7002902583116193E-5,2019-04-01T00:00:00
City of Cotabato,2019-04,4.1518242122470515E-5,2019-04-01T00:00:00
City of Angeles,2019-04,7.654403421864334E-5,2019-04-01T00:00:00
City of Olongapo,2019-04,6.895995245996915E-5,2019-04-01T00:00:00
Ormoc City,2019-04,4.03516094055162E-5,2019-04-01T00:00:00
City of Tacloban,2019-04,4.115733949868173E-5,2019-04-01T00:00:00
City of Zamboanga,2019-04,3.6995460349899186E-5,2019-04-01T00:00:00
City of Isabela,2019-04,4.0864464314567386E-5,2019-04-01T00:00:00
Pateros,2019-04,8.739866555363608E-5,2019-04-01T00:00:00
